Srl. No.,COMPANY NAME,CATEGORY
1,3M INDIA,A+
2,ABB INDIA LIMITED,A+
3,ABN AMRO BANK,A+
4,ACCENTURE SERVICES PRIVATE LIMITED,A+
5,ADOBE SYSTEMS INDIA PRIVATE LIMITED,A+
6,AF FERGUSSON,A+
7,ALCATEL,A+
8,ALFA LAVAL,A+
9,ALLIANZ GROUP COS,A+
10,AMERICAN EXPRESS BANK,A+
11,AMERICAN INTL GROUP (AIG),A+
12,APOLLO HOSPITALS,A+
13,APOLLO TYRES,A+
14,ARVIND LIMITED,A+
15,ASHOK LEYLAND,A+
16,ASIAN PAINTS LIMITED,A+
17,ASTRAZENECA PHARMA INDIA LIMITED,A+
18,AT&T,A+
19,ATLAS COPCO,A+
20,AVAYA GLOBALCONNECT,A+
21,AVAYA INDIA PRIVATE LIMITED,A+
22,AVIVA LIFE INSURANCE COMPANY INDIA LIMITED,A+
23,AXIS BANK,A+
24,BAJAJ AUTO,A+
25,BALLARPUR IND,A+
26,BANK OF AMERICA,A+
27,BARCLAYS BANK PLC,A+
28,BASF INDIA,A+
29,BAYER CROPSCIENCE LIMITED,A+
30,BENNETT COLEMAN,A+
31,BERGER PAINTS,A+
32,BHARAT SHELL LIMITED,A+
33,BHARTI AIRTEL,A+
34,BIOCON,A+
35,BIRLA CORPORATION LIMITED,A+
36,BLOW PLAST,A+
37,BLUE DART EXPRESS LIMITED,A+
38,BLUE STAR,A+
39,BNP PARIBAS,A+
40,BOMBAY BURMAH,A+
41,BRISTOL-MYERS SQUIBB,A+
42,BRITANNIA INDUSTRIES,A+
43,BRITISH AIRWAYS,A+
44,BRITISH GAS,A+
45,BRITISH PET,A+
46,BROADCOM INDIA,A+
47,BURROUGHS WELLCOME,A+
48,CABLE & WIRELESS,A+
49,CADBURY SCHWEPPES,A+
50,CADILA HEALTHCARE (M),A+
51,CAMLIN,A+
52,CANON,A+
53,CAPGEMINI CONSULTING IPL,A+
54,CAPITAL ONE,A+
55,CARL ZEISS PTE. LIMITED.,A+
56,CARRIER AIRCON LIMITED,A+
57,CASTROL INDIA LIMITED,A+
58,CEAT LIMITED,A+
59,CENTURY ENKA,A+
60,CESC,A+
61,CIGNA,A+
62,CIPLA LIMITED,A+
63,CISCO SYSTEMS INDIA PRIVATE LIMITED,A+
64,CITIBANK INDIA,A+
65,CLARIANT (I),A+
66,CLARIANT CHEMICALS INDIA LIMITED,A+
67,CMC,A+
68,COCA-COLA,A+
69,COLGATE-PALMOLIVE,A+
70,COMPAQ,A+
71,COMPUTER ASSOCIATES,A+
72,CONVERGYS INDIA SERVICES PRIVATE LIMITED,A+
73,COOPERS & LYBRAND,A+
74,CREDIT LYONNAIS,A+
75,CREDIT SUISSE GROUP,A+
76,CRISIL LIMITED,A+
77,CROMPTON GREAVES,A+
78,CUMMINS INDIA LIMITED,A+
79,DABUR INDIA LIMITED,A+
80,Daikin Airconditioning India PRIVATE LIMITED,A+
81,DANFOSS INDUSTRIES,A+
82,DBOI GLOBAL SERVICES PRIVATE LIMITED,A+
83,DCW,A+
84,DEEPAK NITRITE (M),A+
85,DELL INDIA PRIVATE LIMITED,A+
86,DELOITTE CONSULTING INDIA PRIVATE LIMITED,A+
87,DELPHI AUTOMOTIVE SYSTEMS,A+
88,DEUTSCHE BANK,A+
89,DEUTSCHE NETWORK SERVICES,A+
90,DEVELOPMENT BANK OF SINGAPORE-DBBS,A+
91,DIGITAL EQUIPMENT INDIA,A+
92,DISCOVERY COMMUNICATIONS INDIA,A+
93,DISHMAN PHARMA & CHEM,A+
94,DR REDDY'S LABORATORIES,A+
95,DREDGING CORP,A+
96,DSP BLACKROCK GROUP,A+
97,DUN&BRADSTREETINFO.SERV.I.PVT.LTD.,A+
98,DURACELL INDIA PRIVATE LIMITED,A+
99,E I DUPONT INDIA LIMITED,A+
100,EDS-ELECTRONIC DATA SYS,A+
101,EICHER TRACTORS LIMITED,A+
102,EID PARRY (D),A+
103,EIH LIMITED (EAST INDIA HOTELS),A+
104,ELDER HEALTH CARE LIMITED,A+
105,ELECTROLUX KELVINATOR LIMITED,A+
106,ERICSSON INDIA PRIVATE LIMITED,A+
107,Ernst and Young Private LIMITED,A+
108,EXIDE INDUSTRIES LIMITED,A+
109,EXXON MOBIL,A+
110,FAG BEARINGS INDIA LIMITED,A+
111,FEDDERS LLOYD,A+
112,FEDEX EXPRESS SERVICES INDIA PRIVATE LIMITED,A+
113,FIAT CHRYSLER AUTOMOBILES,A+
114,FIAT INDIA,A+
115,FIDELITY INVESTMENTS,A+
116,FLEX ENGINEERING,A+
117,FORBES AND COMPANY LIMITED,A+
118,FORD INDIA LIMITED,A+
119,FRANKLIN TEMPLETON,A+
120,FRITO - LAY INDIA,A+
121,FUCHS LUBRICANTS INDIA PVT. LIMITED.,A+
122,FUJI PHOTO FILM,A+
123,FUJITSU INDIA Private LIMITED,A+
124,FULFORD INDIA LIMITED,A+
125,G E SHIPPING,A+
126,GABRIEL INDIA LIMITED,A+
127,GENERAL MOTORS INDIA LIMITED,A+
128,GENPACT INDIA,A+
129,GILLETTE INDIA LIMITED,A+
130,GLAXOSMITHKLINE PHARMACEUTICALS LIMITED,A+
131,GODFREY PHILLIPS INDIA LIMITED,A+
132,GOLDMAN SACHS INDIA PRIVATE LIMITED,A+
133,GOODRICKE,A+
134,GOODYEAR INDIA LIMITED,A+
135,GRAPHITE INDIA LIMITED,A+
136,GRASIM INDUSTRIES LIMITED,A+
137,GREY WORLDWIDE INDIA PVT. LIMITED.,A+
138,GSK,A+
139,GUJARAT AMBUJA CEMENT,A+
140,HAVELLS INDIA,A+
141,HBL POWER SYSTEMS LIMITED,A+
142,HCL - HP LIMITED,A+
143,HCL COMNET LIMITED,A+
144,HCL INFOSYSTEMS LIMITED,A+
145,HCL TECHNOLOGIES LIMITED,A+
146,HDFC BANK LIMITED,A+
147,HENKEL SPIC INDIA LIMITED.,A+
148,HERBERTSONS,A+
149,HERO MOTOCORP LIMITED,A+
150,HEWITT ASSOCIATES INDIA PRIVATE LIMITED,A+
151,HEWLETT PACKARD,A+
152,HIKAL,A+
153,HINDUSTAN THOMPSON,A+
154,HINDUSTAN UNILEVER LIMITED,A+
155,HOUSING DEVELOPMENT FINANCE CORP,A+
156,HPCL,A+
157,HSBC BANK,A+
158,HUHTAMAKI PPL LIMITED,A+
159,IBM GLOBAL SERVICES INDIA LIMITED,A+
160,IBM INDIA LIMITED,A+
161,ICI INDIA LIMITED,A+
162,ICICI BANK LIMITED,A+
163,IDBI BANK,A+
164,I-FLEX SOLUTIONS,A+
165,INDIA CEMENTS,A+
166,INDIAN OIL CORP,A+
167,INDIAN SHAVING PRODUCTS LIMITED,A+
168,INDUSIND BANK LIMITED,A+
169,INFOSYS LIMITED,A+
170,INFRASTRUCTURE DEVELOPMENT FINANCE CORP (IDFC),A+
171,ING VYSA BANK,A+
172,INGERSOLL-RAND,A+
173,INTEL TECHNOLOGY INDIA PRIVATE LIMITED,A+
174,IPCL,A+
175,ITC,A+
176,JET AIRWAYS INDIA LIMITED,A+
177,JOHNSON & JOHNSON,A+
178,KANSAI NEROLAC PAINTS LIMITED,A+
179,KODAK INDIA LIMITED,A+
180,KOTAK MAHINDRA BANK LIMITED,A+
181,LAFARGE,A+
182,LAKME LEVER LIMITED,A+
183,LARSEN & TOUBRO LIMITED,A+
184,LINDE INDIA LIMITED,A+
185,LUCENT TECHNOLOGIES,A+
186,MAA BOZELL,A+
187,MAHINDRA & MAHINDRA LIMITED,A+
188,MAHINDRA SATYAM,A+
189,MARICO LIMITED,A+
190,Maruti Suzuki India LIMITED,A+
191,MASTEK,A+
192,MASTERCARD,A+
193,MATRIX LAB,A+
194,MAX LIFE INSURANCE COMPANY LIMITED,A+
195,MCCANN ERICKSON INDIA PRIVATE LIMITED,A+
196,MCGRAW-HILL COS,A+
197,MCKINSEY & COMPANY,A+
198,MERCK,A+
199,MERRILL LYNCH,A+
200,MICO INDIA LIMITED      ,A+
201,MICROSOFT CORP I PRIVATE LIMITED,A+
202,MITSUBISHI CORP,A+
203,MITSUBISHI ELECTRIC,A+
204,MITSUI,A+
205,MONDELEZ INDIA FOODS LIMITED,A+
206,MONSANTO INDIA LIMITED,A+
207,MORGAN STANLEY,A+
208,MOSER BAER,A+
209,MOTOROLA,A+
210,MUDRA,A+
211,NESTLE INDIA,A+
212,NICHOLAS PIRAMAL (M),A+
213,NOKIA,A+
214,NORTEL NETWORKS I P LIMITED,A+
215,NOVARTIS GROUP,A+
216,OGILVY & MATHER (O&M),A+
217,ORACLE INDIA PRIVATE LIMITED,A+
218,PEOPLESOFT,A+
219,PEPSI CO.,A+
220,PERFETTI VAN MELLE INDIA PRIVATE LIMITED,A+
221,PEROT SYSTEMS TSI,A+
222,PFIZER,A+
223,PHILIPS INDIA LIMITED,A+
224,PIDILITE IND,A+
225,PNB METLIFE INDIA INSURANCE COMPANY LIMITED,A+
226,PONDS INDIA LIMITED,A+
227,PRICE WATERHOUSE ASSOCIATES PRIVATE LIMITED,A+
228,PRICOL,A+
