Branch Name,City,District,State / UN,Zone,Pincode,Location type PL
Cenotoph Road,Chennai ,Chennai,Tamil Nadu,South,600018,Type A PL
Shobha Pearl,Bangalore,Bangalore Urban,Karnataka,South,560001,Type A PL
Vadodara,Vadodara,Vadodara,Gujarat,West,390007,Type A PL
Nariman Point,Mumbai,Mumbai,Maharashtra,West,400021,Type A PL
Bund Garden,Pune,Pune,Maharashtra,West,411001,Type A PL
R.N. Mukherjee Rd. ,Kolkata,Kolkata,West Bengal,East,700001,Type A PL
Connaught Place,New Delhi,Delhi,Delhi,North,110001,Type A PL
Khairatabad,Hyderabad,Hyderabad,Telangana,South,500004,Type A PL
Nungambakkam,Chennai ,Chennai,Tamil Nadu,South,600034,Type A PL
Ernakulam,Kochi,Ernakulam,Kerala,South,682035,Type A PL
Andheri,Mumbai,Mumbai,Maharashtra,West,400058,Type A PL
Jaipur,Jaipur,Jaipur,Rajasthan,North,302001,Type A PL
Chandigarh,Chandigarh,Chandigarh,Chandigarh,North,160017,Type A PL
Mangalore Main,Mangalore,Dakshin Kannad,Karnataka,South,575001,Type A PL
Panaji,Panaji,North Goa,Goa,West,403001,Type A PL
Trichy Road,Coimbatore,Coimbatore,Tamil Nadu,South,641018,Type A PL
Ludhiana,Ludhiana,Ludhiana,Punjab,North,141001,Type A PL
Borivali,Mumbai,Mumbai,Maharashtra,West,400092,Type A PL
Mira Road,Mira Bhayander,Thane,Maharashtra,West,401104,Type A PL
Powai,Mumbai,Mumbai,Maharashtra,West,400076,Type A PL
Gurgaon  ,Gurgaon,Gurgaon,Haryana,North,122001,Type A PL
Vasai,Vasai,Thane,Maharashtra,West,401202,Type A PL
Margao,Margao,South Goa,Goa,West,403601,Type A PL
Ambawadi,Ahmedabad,Ahmedabad,Gujarat,West,380006,Type A PL
Gobichettipalayam,Gobichettipalayam,Erode,Tamil Nadu,South,638452,Type A PL
Ghatkopar,Mumbai,Mumbai,Maharashtra,West,400077,Type A PL
Nashik,Nashik,Nasik,Maharashtra,West,422002,Type A PL
Bhayander,Mira Bhayander,Thane,Maharashtra,West,401101,Type A PL
Greater Kailash,New Delhi,Delhi,Delhi,North,110048,Type A PL
"Mapusa, Bardez",Mapusa,North Goa,Goa,West,403507,Type A PL
Noida  ,Noida,Gautam Buddha Nagar,Uttar Pradesh,North,201301,Type A PL
Dadar,Mumbai,Mumbai,Maharashtra,West,400014,Type A PL
Pricol,Perianaickenpalayam,Coimbatore,Tamil Nadu,South,641020,Type A PL
Ballygunge,Kolkata,Kolkata,West Bengal,East,700019,Type A PL
"Glen Morgan, Thane",Thane,Thane,Maharashtra,West,400602,Type A PL
"I-Serv, Mumbai",Mumbai,Mumbai,Maharashtra,West,400008,Type A PL
Preet Vihar,New Delhi,Delhi,Delhi,North,110092,Type A PL
Bandra,Mumbai,Mumbai,Maharashtra,West,400050,Type A PL
Shivajinagar,Pune,Pune,Maharashtra,West,411005,Type A PL
"Madhapur, Hyderabad",Hyderabad,Hyderabad,Telangana,South,500033,Type A PL
Indore,Indore,Indore,Madhya Pradesh,West,452008,Type A PL
Salt Lake City,Kolkata,Kolkata,West Bengal,East,700091,Type A PL
Panchkula,Panchkula Urban Estate,Panchkula,Haryana,North,134109,Type A PL
Aurangabad,Aurangabad,Aurangabad,Maharashtra,West,431001,Type A PL
"Madhuban, Udaipur",Udaipur,Udaipur,Rajasthan,North,313001,Type A PL
New Friends Colony,New Delhi,Delhi,Delhi,North,110065,Type A PL
Koramangala,Bangalore,Bangalore Urban,Karnataka,South,560095,Type A PL
"S.D. Road, Secunderabad ",Hyderabad,Hyderabad,Telangana,South,500003,Type A PL
Dahanu,Dahanu,Thane,Maharashtra,West,401602,Type A PL
Moti Kavdi,Moti Kavdi,Jamnagar,Gujarat,West,361140,Type A PL
"Athwa Lines, Surat",Surat,Surat,Gujarat,West,395007,Type A PL
Jayanagar,Bangalore,Bangalore Urban,Karnataka,South,560011,Type A PL
Nanganallur,Chennai ,Chennai,Tamil Nadu,South,600061,Type A PL
Bhopal,Bhopal,Bhopal,Madhya Pradesh,West,462011,Type A PL
Mission Street,Pondicherry,Pondicherry,Pondicherry,South,605001,Type A PL
Prabhadevi,Mumbai,Mumbai,Maharashtra,West,400025,Type A PL
Mohali,Mohali (Sas Nagar),Rupnagar,Punjab,North,160059,Type A PL
Nagpur,Nagpur,Nagpur,Maharashtra,West,440001,Type A PL
"Dwarkanagar, Visakapatnam",Visakhapatnam,Visakhapatnam,Andhra Pradesh,South,530016,Type A PL
Bhubaneshwar,Bhubaneshwar,Khurda,Orissa,East,751001,Type A PL
Palghar,Palghar,Thane,Maharashtra,West,401404,Type A PL
Boisar,Boisar,Thane,Maharashtra,West,401501,Type B PL
Drive-In-Road,Bodakdev,Ahmedabad,Gujarat,West,380054,Type A PL
"Vasant Vihar, New Delhi",New Delhi,Delhi,Delhi,North,110057,Type A PL
Amritsar,Amritsar,Amritsar,Punjab,North,143001,Type A PL
Jodhpurgam,Jodhpurgam,Ahmedabad,Gujarat,West,380015,Type A PL
"Halar Road, Valsad",Valsad,Valsad,Gujarat,West,396001,Type A PL
Habsiguda,Hyderabad,Rangareddy,Telangana,South,500076,Type A PL
Green Park,New Delhi,Delhi,Delhi,North,110016,Type A PL
Manipal,Manipal,Udipi,Karnataka,South,576119,Type A PL
Aundh,Pune,Pune,Maharashtra,West,411008,Type A PL
Kondhwa,Pune,Pune,Maharashtra,West,411048,Type A PL
Sanjeeva Reddy Nagar,Hyderabad,Hyderabad,Telangana,South,500038,Type A PL
